INFO 2025-11-23 23:24:50,203 basehttp 7212 123145596657664 "POST /purchases/invoices/create/ HTTP/1.1" 200 345836
INFO 2025-11-23 23:26:58,243 autoreload 7212 140704583916480 /Users/mohammadhabahbeh/Desktop/My File/Project/erp_system/apps/purchases/views/invoice_views.py changed, reloading.
INFO 2025-11-23 23:26:58,470 autoreload 7319 140704583916480 /Users/mohammadhabahbeh/Desktop/My File/Project/erp_system/apps/purchases/views/invoice_views.py changed, reloading.
INFO 2025-11-23 23:26:59,224 autoreload 12716 140704583916480 Watching for file changes with StatReloader
INFO 2025-11-23 23:26:59,290 autoreload 12717 140704583916480 Watching for file changes with StatReloader
INFO 2025-11-23 23:27:14,483 autoreload 13263 140704583916480 Watching for file changes with StatReloader
INFO 2025-11-23 23:29:35,739 basehttp 12716 123145565753344 "GET /purchases/invoices/ HTTP/1.1" 200 105805
INFO 2025-11-23 23:29:35,935 basehttp 12716 123145565753344 "GET /purchases/ajax/invoices/datatable/?draw=1&columns%5B0%5D%5Bdata%5D=0&columns%5B0%5D%5Bname%5D=number&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=1&columns%5B1%5D%5Bname%5D=date&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=2&columns%5B2%5D%5Bname%5D=supplier&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=3&columns%5B3%5D%5Bname%5D=invoice_type&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=4&columns%5B4%5D%5Bname%5D=warehouse&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=5&columns%5B5%5D%5Bname%5D=total_amount&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B6%5D%5Bdata%5D=6&columns%5B6%5D%5Bname%5D=is_posted&columns%5B6%5D%5Bsearchable%5D=true&columns%5B6%5D%5Borderable%5D=true&columns%5B6%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B6%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B7%5D%5Bdata%5D=7&columns%5B7%5D%5Bname%5D=actions&columns%5B7%5D%5Bsearchable%5D=false&columns%5B7%5D%5Borderable%5D=false&columns%5B7%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B7%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&start=0&length=50&search%5Bvalue%5D=&search%5Bregex%5D=false&invoice_type=&posted=&supplier=&warehouse=&search_filter=&_=1763929775787 HTTP/1.1" 200 64
INFO 2025-11-23 23:29:38,012 basehttp 12716 123145565753344 "GET /purchases/invoices/create/ HTTP/1.1" 200 345777
INFO 2025-11-23 23:29:40,426 basehttp 12716 123145565753344 "GET /purchases/invoices/create/ HTTP/1.1" 200 345777
INFO 2025-11-23 23:29:40,457 basehttp 12716 123145582542848 "GET /static/css/mobile.css HTTP/1.1" 200 14380
INFO 2025-11-23 23:29:40,459 basehttp 12716 123145565753344 "GET /static/css/main.css HTTP/1.1" 200 13997
INFO 2025-11-23 23:29:40,459 basehttp 12716 123145599332352 "GET /static/js/main.js HTTP/1.1" 200 14230
INFO 2025-11-23 23:29:40,460 basehttp 12716 123145632911360 "GET /static/js/ajax-utils.js HTTP/1.1" 200 15241
INFO 2025-11-23 23:29:40,461 basehttp 12716 123145649700864 "GET /static/js/mobile.js HTTP/1.1" 200 17520
